year,earth,solar,exoplanet,galaxy,cosmology,gravitational waves,high energy,ism,sun,asteroids,binaries,galaxies,gravitational lensing,large-scale structure,stars,supernovae,quasars,pulsar,planets and satellites,sun_total,exoplanets_total
2010,1,5,0,1,3,0,0,1,3,0,0,5,0,1,2,0,0,0,0,8,0
2011,0,0,0,1,4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2012,2,2,0,0,6,0,2,0,0,0,0,13,0,1,8,1,1,1,0,2,0
2013,0,3,0,1,6,0,4,0,6,0,1,16,0,1,10,1,2,1,0,9,0
2014,1,6,0,1,12,1,5,1,0,0,1,21,2,0,9,1,1,3,0,6,0
2015,1,13,0,5,18,0,5,6,8,1,1,26,1,2,10,3,2,0,1,21,1
2016,7,12,1,2,26,0,6,3,3,1,2,55,0,5,28,5,3,4,4,15,5
2017,8,11,1,5,18,1,5,6,15,2,3,39,2,2,19,3,2,1,2,26,3
2018,21,27,0,11,25,2,17,11,8,3,4,113,4,6,46,1,9,4,8,35,8
2019,20,37,0,17,55,1,38,19,11,3,5,151,9,8,32,5,8,2,15,48,15
2020,36,76,2,9,61,3,41,18,16,1,6,113,9,8,50,9,5,10,6,92,8
